survey_code,PlotID,RecordID,contributor_assigned_plot_id,email,Investigators,SevilletaIAV,SuitableForParamSenExp,SiteName,Country,SiteLatitude,SiteLongitude,SiteElevation,MAT,MAP,KoppenCC,KoppenCC_long,IGBP_class,IGBP_class_long,community_description,community_species,phenology,plant_functional_type,plot_order,plot_family,plot_genus,plot_species,plot_subspecies,plot_species_common_name,photosynthetic_pathway,life_cycle_strategy,additional_species_in_plot,soil,disturbance,DateSurvey,SurveyDateTimeUTC,DateHarvest,PeakBiomass,EntirePlantDried,SubsampleDried,AveragedMoistureContent,EPSG,UTM_zone,Corner1_X,Corner1_Y,Corner1_Z,Corner2_X,Corner2_Y,Corner2_Z,Corner3_X,Corner3_Y,Corner3_Z,Corner4_X,Corner4_Y,Corner4_Z,Harvest_frame_used,plot_side_length,AGB,Comp1,Comp1_Mass,Comp2,Comp2_Mass,Comp3,Comp3_Mass,Comp4,Comp4_Mass,Field_max_height,canopy_diameter_max,canopy_diameter_perpendicular,Biomass_Subsample_Archived,CarbCon,Comp1_CarbCon,Comp2_CarbCon,Comp3_CarbCon,Comp4_CarbCon,NitCon,Comp1_NitCon,Comp2_NitCon,Comp3_NitCon,Comp4_NitCon,Notes_on_survey_harvest,Notes_on_plot,Acknowledgements,Acknowledgements_Funding,Acknowledgements_Permission,Acknowledgements_Assistance,Agreement,Protocol_version,wind_speed,sky_conditions_code,sky_conditions,drone_and_sensor,CameraShutterType,minimum_image_sharpness,Notes_from_processing_and_review,point_cloud_quality,corner_apparent_bias,manual_filtering_required,binomial_species,species_short,plot_area_from_field_length,solar_elevation,solar_noon_elevation,solar_elevation_offset,solar_noon_utc,minutes_offset_from_solar_noon,site_code,plot_area_from_coordinates_m2,AGB_g_m2,HAG_plotmin_of_cellmax_m,HAG_plotmax_of_cellmax_m,HAG_plotmean_of_cellmax_m,HAG_plotmedian_of_cellmax_m,HAG_plot90percentile_of_cellmax_m,Count_of_nodata_cells_in_plot,Count_of_points_cells_in_plot
20160725_AC_ORC,P01,1.0,SP01,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582030.809,7719547.809,4.184,582030.665,7719547.344,4.203,582031.137,7719547.167,4.22,582031.312,7719547.607,4.207,True,0.5,69.14,Woody Stems,39.78,Leaves,14.82,Herbaceous,14.54,NA,NA,NA,NA,NA,True,48.5567595776685,52.2505,44.01359,43.08171,NA,0.8210196048597049,0.338667,1.623065,1.323198,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2508,276.56,0.04,0.27,0.1477,0.14,0.21000000000000002,1.0,2505.0
20160725_AC_ORC,P02,2.0,SP02,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582031.786,7719552.94,4.414,582031.659,7719552.451,4.379,582032.122,7719552.292,4.388,582032.274,7719552.827,4.413,True,0.5,63.74,Woody Stems,30.32,Leaves,18.45,Herbaceous,14.97,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2624,254.96,0.01,0.21,0.1083,0.11,0.15,6.0,2620.0
20160725_AC_ORC,P03,3.0,SP03,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582034.752,7719543.146,4.072,582034.711,7719542.655,4.092,582035.198,7719542.606,4.099,582035.243,7719543.114,4.084,True,0.5,44.87,Woody Stems,18.21,Leaves,12.28,Herbaceous,14.38,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.246,179.48,0.03,0.92,0.1229,0.11,0.18,5.0,2454.0
20160725_AC_ORC,P04,4.0,SP04,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582023.646,7719553.576,4.225,582023.543,7719553.093,4.211,582024.013,7719552.963,4.22,582024.147,7719553.455,4.214,True,0.5,42.84,Woody Stems,8.05,Leaves,14.79,Herbaceous,20.0,NA,NA,NA,NA,NA,True,45.290672215219416,49.25039,45.44258,43.58455,NA,0.8896199976657329,0.156825,1.249455,0.918472,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2516,171.36,0.0,0.19,0.1224,0.12,0.15,2.0,2513.0
20160725_AC_ORC,P05,5.0,SP05,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582025.118,7719548.174,4.092,582025.101,7719547.665,4.106,582025.588,7719547.656,4.107,582025.617,7719548.172,4.135,True,0.5,37.32,Woody Stems,6.52,Leaves,17.99,Herbaceous,12.81,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2528,149.28,0.0,0.18,0.0779,0.08,0.11,12.0,2502.0
20160725_AC_ORC,P06,6.0,SP06,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582028.295,7719544.264,4.075,582028.195,7719543.761,4.105,582028.687,7719543.643,4.098,582028.758,7719544.143,4.069,True,0.5,49.74,Woody Stems,23.29,Leaves,14.45,Herbaceous,12.0,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2497,198.96,0.0,0.22,0.0666,0.06,0.11,3.0,2491.0
20160725_AC_ORC,P07,7.0,SP07,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582016.461,7719542.671,3.883,582016.073,7719542.339,3.878,582016.437,7719541.983,3.904,582016.772,7719542.311,3.919,True,0.5,118.89,Woody Stems,72.11,Leaves,11.7,Herbaceous,35.08,NA,NA,NA,NA,NA,True,45.370938994869206,46.46513,43.33772,43.79986,NA,0.36581447977121706,0.174732,1.195517,0.481876,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2408,475.56,0.2,0.52,0.4043,0.41000000000000003,0.47000000000000003,3.0,2404.0
20160725_AC_ORC,P08,8.0,SP08,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582014.762,7719541.599,3.942,582014.308,7719541.324,3.953,582014.647,7719540.936,3.967,582015.032,7719541.197,3.934,True,0.5,105.03,Woody Stems,58.79,Leaves,13.04,Herbaceous,33.2,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2473,420.12,0.0,0.53,0.2689,0.27,0.39,5.0,2469.0
20160725_AC_ORC,P09,9.0,SP09,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,582012.73,7719540.446,3.871,582012.347,7719540.08,3.922,582012.728,7719539.782,3.929,582013.051,7719540.15,3.941,True,0.5,165.92,Woody Stems,97.73,Leaves,12.19,Herbaceous,56.0,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,True,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2337,663.68,0.04,0.6,0.4011,0.4,0.51,7.0,2328.0
20160725_AC_ORC,P10,10.0,SP10,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",False,True,Qikiqtaruk (Orca),Canada,69.572,-138.895,5.0,-10.0,160.0,ET,Tundra,6.0,Closed shrubland,Arctic ecotone from graminoid to shrub dominated,"Salix richardsonii, Equisetum",Seasonal biomass peak,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,NA,Richardson's willow,C3,perennial,Equisetum,organic soils and ice rich permafrost on alluvial fan.,None known,2016-07-25,2016-07-25 21:15:00,2016-07-31,True,True,False,False,32607,7N,581997.698,7719546.153,4.044,581997.254,7719545.905,4.079,581997.526,7719545.492,4.069,581997.94,7719545.763,4.034,True,0.5,193.13,Woody Stems,137.48,Leaves,18.05,Herbaceous,37.6,NA,NA,NA,NA,NA,True,49.68948832185574,52.19672,42.8742,43.79379,NA,0.2723464766219645,0.093866,1.213891,0.472948,NA,Cunliffe et al. In Prep. ,NA,"This work was supported by NERC (NE/M016323/1), and the loan of GNSS equipment from NERC GEF (NERC/GEF:1063 and 1069). The authors wish to thank the Inuvialuit people for permission to work on their traditional lands, and the Yukon Government and Parks for their permission and support of this research (Permit number Inu-02-16). Drone flight operations were authorised by a Special Flight Operations Certificate granted by Transport Canada. We thank Haydn Thomas, Sandra Angers-Blondin Eleanor Walker, John Godlee and Santeri Lehtonen for invaluable assistance with fieldwork","NERC (NE/M016323/1) awarded to I.H.M.-S., NERC GEF (NERC/GEF:1063 and 1069) to I.H.M.-S. and A.M.C.","Yukon Government and Parks (Permit: Inu-02-16), The Inuvialuit People","Haydn Thomas, Sandra Angers-Blondin, Eleanor Walker, John Godlee, Santeri Lehtonen",I/We agree to the data use and authorship policy,0.9,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens),Global,NA,"Point cloud edited manually to remove plot infrasturcture, looks okay.",1,0.0,False,Salix richardsonii,S. richardsonii,0.25,39.84,39.85,0.01,2016-07-25 21:22:06,7.0,ORC,0.2389,772.52,0.24,0.6,0.4434,0.43,0.56,5.0,2387.0
