survey_code,PlotID,Investigators,SiteName,Country,SiteLatitude,SiteLongitude,MAT,MAP,community_description,plant_functional_type,plot_order,plot_family,plot_genus,plot_species,EPSG,Corner1_X,Corner1_Y,Corner1_Z,Corner2_X,Corner2_Y,Corner2_Z,Corner3_X,Corner3_Y,Corner3_Z,Corner4_X,Corner4_Y,Corner4_Z,AGB,AGB_g_m2,wind_speed,sky_conditions_code,sky_conditions,drone_and_sensor,HAG_plotmean_of_cellmax_m
20160725_AC_ORC,P01,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582030.809,7719547.809,4.184,582030.665,7719547.344,4.203,582031.137,7719547.167,4.22,582031.312,7719547.607,4.207,69.14,276.56,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.1477
20160725_AC_ORC,P02,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582031.786,7719552.94,4.414,582031.659,7719552.451,4.379,582032.122,7719552.292,4.388,582032.274,7719552.827,4.413,63.74,254.96,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.1083
20160725_AC_ORC,P03,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582034.752,7719543.146,4.072,582034.711,7719542.655,4.092,582035.198,7719542.606,4.099,582035.243,7719543.114,4.084,44.87,179.48,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.1229
20160725_AC_ORC,P04,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582023.646,7719553.576,4.225,582023.543,7719553.093,4.211,582024.013,7719552.963,4.22,582024.147,7719553.455,4.214,42.84,171.36,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.1224
20160725_AC_ORC,P05,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582025.118,7719548.174,4.092,582025.101,7719547.665,4.106,582025.588,7719547.656,4.107,582025.617,7719548.172,4.135,37.32,149.28,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.0779
20160725_AC_ORC,P06,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582028.295,7719544.264,4.075,582028.195,7719543.761,4.105,582028.687,7719543.643,4.098,582028.758,7719544.143,4.069,49.74,198.96,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.0666
20160725_AC_ORC,P07,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582016.461,7719542.671,3.883,582016.073,7719542.339,3.878,582016.437,7719541.983,3.904,582016.772,7719542.311,3.919,118.89,475.56,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.4043
20160725_AC_ORC,P08,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582014.762,7719541.599,3.942,582014.308,7719541.324,3.953,582014.647,7719540.936,3.967,582015.032,7719541.197,3.934,105.03,420.12,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.2689
20160725_AC_ORC,P09,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,582012.73,7719540.446,3.871,582012.347,7719540.08,3.922,582012.728,7719539.782,3.929,582013.051,7719540.15,3.941,165.92,663.68,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.4011
20160725_AC_ORC,P10,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,-10.0,160.0,Arctic ecotone from graminoid to shrub dominated,Shrub,Malpighiales,Salicaceae,Salix,richardsonii,32607,581997.698,7719546.153,4.044,581997.254,7719545.905,4.079,581997.526,7719545.492,4.069,581997.94,7719545.763,4.034,193.13,772.52,3.4,5.0,5 - Cumulus over most of sky (sun not obscured),DJI Phantom 4 Pro,0.4434
