plant_functional_type,order,family,species,observations,n_of_surveys,lm_slope,lm_slope_error,lm_r2,lm_adjr2,tstatistic,lm_p,Kendall_cc_tau.tau,Kendall_cc_p,lm_loocv_pc,,32,29,,0.780487805
Fern,Polypodiales,Dennstaedtiaceae,Pteridium aquilinum,6,1,1096,53,0.99,0.99,20.558,<0.0001,0.867,0.0167,12,,1,1,,
Forb,Asterales,Asteraceae,Cirsium spinosissimum,7,1,374,140,0.54,0.46,2.66,0.0375,0.143,0.7726,21.9,,0,0,,
Forb,Caryophyllales,Polygonaceae,Rumex obtusifolius,4,1,2416,505,0.88,0.85,4.779,0.0174,0,1,8.9,,1,1,,
Forb,Fabales,Fabaceae,Trifolium repens,4,1,2865,112,1,0.99,25.435,0.0001,0,1,1.5,,1,1,,
Graminoid,Poales,Juncaceae,Juncus spp.,10,1,3897,301,0.95,0.94,12.91,<0.0001,0.689,0.0047,3.3,,1,1,,
Graminoid,Poales,Poaceae,Achnatherum nelsonii,24,2,5603,576,0.8,0.8,9.723,<0.0001,0.478,8.00E-04,1.4,,1,1,,
Graminoid,Poales,Poaceae,Arctophila fulva,16,1,852,62,0.92,0.92,13.574,<0.0001,0.517,0.0046,1.3,,1,1,,
Graminoid,Poales,Poaceae,Bothriochloa macra,9,2,1849,272,0.85,0.83,6.785,0.0001,0.056,0.9195,1,,1,1,,
Graminoid,Poales,Poaceae,Bouteloua eriopoda,28,2,4563,175,0.96,0.96,26.063,<0.0001,0.819,0,1.6,,1,1,,
Graminoid,Poales,Poaceae,Bromus marginatus,12,1,609,102,0.76,0.74,5.931,0.0001,-0.061,0.8406,2.8,,1,0,,
Graminoid,Poales,Poaceae,Eragrostis curvula,21,3,3809,481,0.76,0.75,7.908,<0.0001,0.695,0,1.8,,1,0,,
Graminoid,Poales,Poaceae,Festuca idahoensis,4,1,901,335,0.71,0.61,2.684,0.0748,0.333,0.75,6.2,,0,0,,
Graminoid,Poales,Poaceae,Festuca rubra,4,1,1388,437,0.77,0.69,3.175,0.0503,-0.667,0.3333,19.1,,1,0,,
Graminoid,Poales,Poaceae,Nardus stricta,16,1,1470,153,0.86,0.85,9.553,<0.0001,0.259,0.1624,1.7,,1,1,,
Graminoid,Poales,Poaceae,Nassella trichotoma,7,1,4505,393,0.96,0.95,11.458,<0.0001,0.81,0.0107,1.1,,1,1,,
Graminoid,Poales,Poaceae,Pleuraphis mutica,20,1,3206,324,0.84,0.83,9.87,<0.0001,0.695,0,2.2,,1,1,,
Graminoid,Poales,Poaceae,Pseudoroegneria spicata,46,4,3104,187,0.86,0.86,16.569,<0.0001,0.6,0,4.7,,1,1,,
Shrub,Asterales,Asteraceae,Artemisia arbuscula,11,1,3378,383,0.89,0.87,8.805,<0.0001,0.564,0.0165,3.7,,1,1,,
Shrub,Asterales,Asteraceae,Artemisia nova,12,1,8805,884,0.9,0.89,9.952,<0.0001,0.545,0.0138,3.5,,1,1,,
Shrub,Asterales,Asteraceae,Artemisia tridentata,50,4,6264,664,0.64,0.64,9.434,<0.0001,0.324,9.00E-04,7.4,,0,0,,
Shrub,Asterales,Asteraceae,Elytropappus rhinocerotis,16,1,4989,693,0.78,0.76,7.192,<0.0001,0.35,0.0641,8.1,,1,1,,
Shrub,Asterales,Asteraceae,Flourensia cernua,16,1,4993,1276,0.5,0.47,3.912,0.0014,-0.233,0.2281,8.4,,0,0,,
Shrub,Asterales,Asteraceae,Gutierrezia sarothrae,36,3,4465,230,0.91,0.91,19.344,<0.0001,0.673,0,2.1,,1,1,,
Shrub,Asterales,Asteraceae,Launaea arborescens,7,1,5214,559,0.94,0.92,9.32,0.0001,0.905,0.0028,2.2,,1,1,,
Shrub,Asterales,Asteraceae,Pteronia paniculata,16,1,10127,932,0.89,0.88,10.864,<0.0001,0.494,0.0078,0.9,,1,1,,
Shrub,Caryophyllales,Chenopodiaceae,Atriplex canescens,16,1,4001,276,0.93,0.93,14.464,<0.0001,0.383,0.0413,3.9,,1,1,,
Shrub,Dipsacales,Caprifoliaceae,Symphoricarpos oreophilus,12,1,2189,149,0.95,0.95,14.688,<0.0001,0.758,2.00E-04,3.1,,1,1,,
Shrub,Ericales,Ericaceae,Calluna vulgaris,16,2,5912,546,0.89,0.88,10.822,<0.0001,0.567,0.0017,7.3,,1,1,,
Shrub,Fabales,Fabaceae,Prosopis glandulosa,16,1,5372,330,0.95,0.94,16.254,<0.0001,0.683,1.00E-04,2.5,,1,1,,
Shrub,Fabales,Fabaceae,Ulex gallii,5,1,4033,561,0.93,0.91,7.18,0.002,0.6,0.2333,15.7,,1,1,,
Shrub,Malpighiales,Salicaceae,Salix richardsonii,36,1,2523,142,0.9,0.9,17.67,<0.0001,0.641,0,11.1,,1,1,,
Shrub,Rosales,Rosaceae,Adenostoma fasciculatum,26,2,4830,728,0.64,0.62,6.626,<0.0001,0.569,0,17.1,,0,0,,
Shrub,Rosales,Rosaceae,Adenostoma sparsifolium,24,2,2348,338,0.68,0.66,6.93,<0.0001,0.348,0.0173,60.1,,0,0,,
Shrub,Rosales,Rosaceae,Crataegus spp.,12,1,2803,158,0.97,0.96,17.716,<0.0001,0.788,1.00E-04,8,,1,1,,
Shrub,Rosales,Rosaceae,Prunus spinosa,12,1,2734,173,0.96,0.95,15.783,<0.0001,0.364,0.116,4.9,,1,1,,
Shrub,Zygophyllales,Zygophyllaceae,Larrea tridentata,44,3,5631,539,0.72,0.71,10.445,<0.0001,0.33,0.0014,5.7,,0,0,,
Succulent,Asparagales,Asparagaceae,Yucca glauca,12,2,12380,899,0.95,0.94,13.763,<0.0001,0.515,0.021,2.4,,1,1,,
Succulent,Caryophyllales,Cactaceae,Cylindropuntia imbricata,4,2,8106,1527,0.9,0.87,5.308,0.0131,0.667,0.3333,5.9,,1,1,,
Succulent,Caryophyllales,Cactaceae,Opuntia phaeacantha,6,1,14044,1073,0.97,0.97,13.083,<0.0001,0.733,0.0556,1.5,,1,1,,
Tree,Pinales,Cupressaceae,Juniperus monosperma,18,1,7623,1096,0.74,0.72,6.954,<0.0001,0.359,0.0395,8.4,,0,0,,
Tree,Pinales,Pinaceae,Pinus edulis,20,1,5000,671,0.74,0.73,7.446,<0.0001,0.632,0,17.7,,0,0,,
